,article_id,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,garment_group_name,detail_desc,extra_description,product_in_natural_language
10,646152001,ES Mia tee,T-shirt,Garment Upper body,Solid,White,Jersey Fancy,Fitted T-shirt in airy cotton jersey.,"The name of this product is ES Mia tee. It is a Garment Upper body , more specifically it is a White     Jersey Fancy, T-shirt. The graphical appearance of the product is Solid","The name of this product is ES Mia tee. It is a Garment Upper body , more specifically it is a White     Jersey Fancy, T-shirt. The graphical appearance of the product is Solid 
 More details: 
Fitted T-shirt in airy cotton jersey."
11,767228003,FASHION OFFER GRAYHAM  SET,Garment Set,Garment Full body,Placement print,Dark Orange,Jersey Fancy,Set with a top in lightweight sweatshirt fabric and pair of leggings in soft jersey. Printed top with press-studs on one shoulder. Leggings with an elasticated waist and ribbed hems.,"The name of this product is FASHION OFFER GRAYHAM  SET. It is a Garment Full body , more specifically it is a Dark Orange     Jersey Fancy, Garment Set. The graphical appearance of the product is Placement print","The name of this product is FASHION OFFER GRAYHAM  SET. It is a Garment Full body , more specifically it is a Dark Orange     Jersey Fancy, Garment Set. The graphical appearance of the product is Placement print 
 More details: 
Set with a top in lightweight sweatshirt fabric and pair of leggings in soft jersey. Printed top with press-studs on one shoulder. Leggings with an elasticated waist and ribbed hems."
12,786347001,Katie,Dress,Garment Full body,Solid,Black,Jersey Basic,Straight-cut dress in ribbed jersey with a turtle neck and long sleeves.,"The name of this product is Katie. It is a Garment Full body , more specifically it is a Black     Jersey Basic, Dress. The graphical appearance of the product is Solid","The name of this product is Katie. It is a Garment Full body , more specifically it is a Black     Jersey Basic, Dress. The graphical appearance of the product is Solid 
 More details: 
Straight-cut dress in ribbed jersey with a turtle neck and long sleeves."
13,564310012,Anthony 3pk  Fancy,Underwear bottom,Underwear,All over pattern,Light Pink,"Under-, Nightwear","Trunks in stretch cotton jersey with flatlock seams, short legs, an elasticated waist and a lined front.","The name of this product is Anthony 3pk  Fancy. It is a Underwear , more specifically it is a Light Pink     Under-, Nightwear, Underwear bottom. The graphical appearance of the product is All over pattern","The name of this product is Anthony 3pk  Fancy. It is a Underwear , more specifically it is a Light Pink     Under-, Nightwear, Underwear bottom. The graphical appearance of the product is All over pattern 
 More details: 
Trunks in stretch cotton jersey with flatlock seams, short legs, an elasticated waist and a lined front."
14,819758001,ROXO REGULAR CREW,Sweater,Garment Upper body,Placement print,Black,Jersey Fancy,"Long-sleeved top in sturdy, printed jersey with a round neckline and ribbing at the cuffs and hem.","The name of this product is ROXO REGULAR CREW. It is a Garment Upper body , more specifically it is a Black     Jersey Fancy, Sweater. The graphical appearance of the product is Placement print","The name of this product is ROXO REGULAR CREW. It is a Garment Upper body , more specifically it is a Black     Jersey Fancy, Sweater. The graphical appearance of the product is Placement print 
 More details: 
Long-sleeved top in sturdy, printed jersey with a round neckline and ribbing at the cuffs and hem."
15,558825002,APRIL SHIRT S.7,Shirt,Garment Upper body,Check,Light Orange,Blouses,"Long shirt in an airy viscose weave with a collar, buttons down the front and chest pocket. Long sleeves with buttoned cuffs and a rounded hem with slits in the sides. Slightly longer at the back.","The name of this product is APRIL SHIRT S.7. It is a Garment Upper body , more specifically it is a Light Orange     Blouses, Shirt. The graphical appearance of the product is Check","The name of this product is APRIL SHIRT S.7. It is a Garment Upper body , more specifically it is a Light Orange     Blouses, Shirt. The graphical appearance of the product is Check 
 More details: 
Long shirt in an airy viscose weave with a collar, buttons down the front and chest pocket. Long sleeves with buttoned cuffs and a rounded hem with slits in the sides. Slightly longer at the back."
16,783707070,1pk Fun,Socks,Socks & Tights,All over pattern,Orange,Socks and Tights,"Socks in a soft, jacquard-knit cotton blend with elasticated tops.","The name of this product is 1pk Fun. It is a Socks & Tights , more specifically it is a Orange     Socks and Tights, Socks. The graphical appearance of the product is All over pattern","The name of this product is 1pk Fun. It is a Socks & Tights , more specifically it is a Orange     Socks and Tights, Socks. The graphical appearance of the product is All over pattern 
 More details: 
Socks in a soft, jacquard-knit cotton blend with elasticated tops."
17,738401001,PE MAJ DRESS,Dress,Garment Full body,All over pattern,White,Unknown,"Calf-length dress in a snakeskin-patterned, airy weave with a draped front and decorative wrapover detail at the top. Long sleeves with a width that creates an asymmetric finish, draping with a sewn-in wrapover at the back, a seam at the waist and draped skirt with a slit at the front. Concealed zip in one side. Lined skirt.","The name of this product is PE MAJ DRESS. It is a Garment Full body , more specifically it is a White     Unknown, Dress. The graphical appearance of the product is All over pattern","The name of this product is PE MAJ DRESS. It is a Garment Full body , more specifically it is a White     Unknown, Dress. The graphical appearance of the product is All over pattern 
 More details: 
Calf-length dress in a snakeskin-patterned, airy weave with a draped front and decorative wrapover detail at the top. Long sleeves with a width that creates an asymmetric finish, draping with a sewn-in wrapover at the back, a seam at the waist and draped skirt with a slit at the front. Concealed zip in one side."
18,772324004,Wippet blazer,Blazer,Garment Upper body,Solid,Dark Green,Dressed,"Jacket in woven fabric with a sheen. Shawl collar, concealed pockets in the side seams, 3/4-length sleeves with gathers at the cuffs, and a tie belt at the waist. No fasteners. Lined.","The name of this product is Wippet blazer. It is a Garment Upper body , more specifically it is a Dark Green     Dressed, Blazer. The graphical appearance of the product is Solid","The name of this product is Wippet blazer. It is a Garment Upper body , more specifically it is a Dark Green     Dressed, Blazer. The graphical appearance of the product is Solid 
 More details: 
Jacket in woven fabric with a sheen. Shawl collar, concealed pockets in the side seams, 3/4-length sleeves with gathers at the cuffs, and a tie belt at the waist. No fasteners. Lined."
19,709902001,Shanta Shorts,Shorts,Garment Lower body,Lace,Dark Blue,Trousers,"Shorts in stretch twill with an adjustable elasticated waist, zip fly and press-stud, front and back pockets and a lace trim at the hems.","The name of this product is Shanta Shorts. It is a Garment Lower body , more specifically it is a Dark Blue     Trousers, Shorts. The graphical appearance of the product is Lace","The name of this product is Shanta Shorts. It is a Garment Lower body , more specifically it is a Dark Blue     Trousers, Shorts. The graphical appearance of the product is Lace 
 More details: 
Shorts in stretch twill with an adjustable elasticated waist, zip fly and press-stud, front and back pockets and a lace trim at the hems."
20,664715001,Cable tights,Underwear Tights,Socks & Tights,Solid,Off White,Socks and Tights,"Tights in a soft, cable-knit cotton blend with an elasticated waist.","The name of this product is Cable tights. It is a Socks & Tights , more specifically it is a Off White     Socks and Tights, Underwear Tights. The graphical appearance of the product is Solid","The name of this product is Cable tights. It is a Socks & Tights , more specifically it is a Off White     Socks and Tights, Underwear Tights. The graphical appearance of the product is Solid 
 More details: 
Tights in a soft, cable-knit cotton blend with an elasticated waist."
21,591800001,Lime bikini hipster BIG,Swimwear bottom,Swimwear,Solid,Black,Swimwear,Fully lined bikini bottoms with a mid waist and laser-cut scalloped edges.,"The name of this product is Lime bikini hipster BIG. It is a Swimwear , more specifically it is a Black     Swimwear, Swimwear bottom. The graphical appearance of the product is Solid","The name of this product is Lime bikini hipster BIG. It is a Swimwear , more specifically it is a Black     Swimwear, Swimwear bottom. The graphical appearance of the product is Solid 
 More details: 
Fully lined bikini bottoms with a mid waist and laser-cut scalloped edges."
22,681891001,ED Roman blouse,Top,Garment Upper body,Solid,Pink,Blouses,"Blouse in airy chiffon crêpe with embroidery, a V-neck with buttons at the front and a stand-up collar with a small frill. Frill at the front that continues over the shoulders, long sleeves with a wide flounce at the cuffs, and a wide flounce at the hem. Unlined.","The name of this product is ED Roman blouse. It is a Garment Upper body , more specifically it is a Pink     Blouses, Top. The graphical appearance of the product is Solid","The name of this product is ED Roman blouse. It is a Garment Upper body , more specifically it is a Pink     Blouses, Top. The graphical appearance of the product is Solid 
 More details: 
Blouse in airy chiffon crêpe with embroidery, a V-neck with buttons at the front and a stand-up collar with a small frill. Frill at the front that continues over the shoulders, long sleeves with a wide flounce at the cuffs, and a wide flounce at the hem. Unlined."
23,536952001,Hamza,Top,Garment Upper body,Solid,Black,Jersey Fancy,Fitted jersey top with a heart-shaped neckline and long sleeves.,"The name of this product is Hamza. It is a Garment Upper body , more specifically it is a Black     Jersey Fancy, Top. The graphical appearance of the product is Solid","The name of this product is Hamza. It is a Garment Upper body , more specifically it is a Black     Jersey Fancy, Top. The graphical appearance of the product is Solid 
 More details: 
Fitted jersey top with a heart-shaped neckline and long sleeves."
24,559069004,MY hood,Hoodie,Garment Upper body,Melange,Blue,Knitwear,"Fine-knit hooded jumper in a soft viscose blend with a motif on the front, long sleeves with gathered seams, and a drawstring at the hem.","The name of this product is MY hood. It is a Garment Upper body , more specifically it is a Blue     Knitwear, Hoodie. The graphical appearance of the product is Melange","The name of this product is MY hood. It is a Garment Upper body , more specifically it is a Blue     Knitwear, Hoodie. The graphical appearance of the product is Melange 
 More details: 
Fine-knit hooded jumper in a soft viscose blend with a motif on the front, long sleeves with gathered seams, and a drawstring at the hem."
25,606083005,Leona long dress,Dress,Garment Full body,All over pattern,Black,Jersey Fancy,Long dress in patterned viscose jersey with smocking at the top and narrow shoulder straps.,"The name of this product is Leona long dress. It is a Garment Full body , more specifically it is a Black     Jersey Fancy, Dress. The graphical appearance of the product is All over pattern","The name of this product is Leona long dress. It is a Garment Full body , more specifically it is a Black     Jersey Fancy, Dress. The graphical appearance of the product is All over pattern 
 More details: 
Long dress in patterned viscose jersey with smocking at the top and narrow shoulder straps."
26,891890005,TORONTO regular crew,Sweater,Garment Upper body,Front print,Light Grey,Jersey Fancy,"Long-sleeved top in sweatshirt fabric with a soft brushed inside. Ribbing around the neckline, cuffs and hem.","The name of this product is TORONTO regular crew. It is a Garment Upper body , more specifically it is a Light Grey     Jersey Fancy, Sweater. The graphical appearance of the product is Front print","The name of this product is TORONTO regular crew. It is a Garment Upper body , more specifically it is a Light Grey     Jersey Fancy, Sweater. The graphical appearance of the product is Front print 
 More details: 
Long-sleeved top in sweatshirt fabric with a soft brushed inside. Ribbing around the neckline, cuffs and hem."
27,344956011,Flirty Romi waterbottle,Other accessories,Accessories,All over pattern,White,Accessories,Plastic water bottle with a screw top and practical wrist strap that also holds the top in place. Capacity 550 ml.,"The name of this product is Flirty Romi waterbottle. It is a Accessories , more specifically it is a White     Accessories, Other accessories. The graphical appearance of the product is All over pattern","The name of this product is Flirty Romi waterbottle. It is a Accessories , more specifically it is a White     Accessories, Other accessories. The graphical appearance of the product is All over pattern 
 More details: 
Plastic water bottle with a screw top and practical wrist strap that also holds the top in place. Capacity 550 ml."
28,754018002,Relaxed tap basic 89,Trousers,Garment Lower body,Denim,Black,Trousers Denim,"5-pocket jeans in washed, stretch denim in a relaxed fit with an adjustable, elasticated waist, zip fly and button and tapered legs.","The name of this product is Relaxed tap basic 89. It is a Garment Lower body , more specifically it is a Black     Trousers Denim, Trousers. The graphical appearance of the product is Denim","The name of this product is Relaxed tap basic 89. It is a Garment Lower body , more specifically it is a Black     Trousers Denim, Trousers. The graphical appearance of the product is Denim 
 More details: 
5-pocket jeans in washed, stretch denim in a relaxed fit with an adjustable, elasticated waist, zip fly and button and tapered legs."
29,853006001,Lily NEW SL (W),Pyjama set,Nightwear,All over pattern,Black,"Under-, Nightwear",Pyjamas with a strappy top and pair of shorts in patterned satin. Top with adjustable spaghetti shoulder straps. Shorts with covered elastication and a frill trim at the waist.,"The name of this product is Lily NEW SL (W). It is a Nightwear , more specifically it is a Black     Under-, Nightwear, Pyjama set. The graphical appearance of the product is All over pattern","The name of this product is Lily NEW SL (W). It is a Nightwear , more specifically it is a Black     Under-, Nightwear, Pyjama set. The graphical appearance of the product is All over pattern 
 More details: 
Pyjamas with a strappy top and pair of shorts in patterned satin. Top with adjustable spaghetti shoulder straps. Shorts with covered elastication and a frill trim at the waist."
30,858037001,Ohoj shorts,Shorts,Garment Lower body,Solid,Dark Blue,Trousers,"High-waisted shorts in woven fabric with decorative buttons at the front. Zip fly with a hook-and-eye fastener, and fake welt pockets at the back.","The name of this product is Ohoj shorts. It is a Garment Lower body , more specifically it is a Dark Blue     Trousers, Shorts. The graphical appearance of the product is Solid","The name of this product is Ohoj shorts. It is a Garment Lower body , more specifically it is a Dark Blue     Trousers, Shorts. The graphical appearance of the product is Solid 
 More details: 
High-waisted shorts in woven fabric with decorative buttons at the front. Zip fly with a hook-and-eye fastener, and fake welt pockets at the back."
31,659453002,Palme Parka,Coat,Garment Upper body,Solid,Dark Green,Outdoor,"Short, lightly padded parka in washed cotton twill with a collar with a detachable faux fur trim and a zip and wind flap with concealed press-studs down the front. Chest pockets and front pockets with a flap and concealed press-stud, a concealed drawstring at the waist and hem, and a tab with a hook and loop fastener at the cuffs. Lined.","The name of this product is Palme Parka. It is a Garment Upper body , more specifically it is a Dark Green     Outdoor, Coat. The graphical appearance of the product is Solid","The name of this product is Palme Parka. It is a Garment Upper body , more specifically it is a Dark Green     Outdoor, Coat. The graphical appearance of the product is Solid 
 More details: 
Short, lightly padded parka in washed cotton twill with a collar with a detachable faux fur trim and a zip and wind flap with concealed press-studs down the front. Chest pockets and front pockets with a flap and concealed press-stud, a concealed drawstring at the waist and hem, and a tab with a hook and loop fastener a"
32,892427001,Flirty Moonlight bracelet pk,Bracelet,Accessories,Solid,Light Pink,Accessories,"Bracelets in different designs of thin metal chains. Adjustable length, approx. 19-26 cm.","The name of this product is Flirty Moonlight bracelet pk. It is a Accessories , more specifically it is a Light Pink     Accessories, Bracelet. The graphical appearance of the product is Solid","The name of this product is Flirty Moonlight bracelet pk. It is a Accessories , more specifically it is a Light Pink     Accessories, Bracelet. The graphical appearance of the product is Solid 
 More details: 
Bracelets in different designs of thin metal chains. Adjustable length, approx. 19-26 cm."
33,564988007,BRENDA bomber,Jacket,Garment Upper body,Solid,Dark Blue,Outdoor,"Padded bomber jacket in woven fabric with a slight sheen. Small, ribbed stand-up collar, zip down the front, flap side pockets with a press-stud and a gathered seam at the back and down the sleeves. Ribbing at the cuffs and hem. Lined.","The name of this product is BRENDA bomber. It is a Garment Upper body , more specifically it is a Dark Blue     Outdoor, Jacket. The graphical appearance of the product is Solid","The name of this product is BRENDA bomber. It is a Garment Upper body , more specifically it is a Dark Blue     Outdoor, Jacket. The graphical appearance of the product is Solid 
 More details: 
Padded bomber jacket in woven fabric with a slight sheen. Small, ribbed stand-up collar, zip down the front, flap side pockets with a press-stud and a gathered seam at the back and down the sleeves. Ribbing at the cuffs and hem. Lined."
34,621915002,Jupiter Sandal,Sandals,Shoes,Solid,Yellowish Brown,Shoes,"Low, imitation leather sandals with an elasticated heel strap. Rubber insoles and soles.","The name of this product is Jupiter Sandal. It is a Shoes , more specifically it is a Yellowish Brown     Shoes, Sandals. The graphical appearance of the product is Solid","The name of this product is Jupiter Sandal. It is a Shoes , more specifically it is a Yellowish Brown     Shoes, Sandals. The graphical appearance of the product is Solid 
 More details: 
Low, imitation leather sandals with an elasticated heel strap. Rubber insoles and soles."
35,501436007,Alex,Sweater,Garment Upper body,Melange,Dark Grey,Knitwear,Fine-knit V-neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides. Slightly longer at the back.,"The name of this product is Alex. It is a Garment Upper body , more specifically it is a Dark Grey     Knitwear, Sweater. The graphical appearance of the product is Melange","The name of this product is Alex. It is a Garment Upper body , more specifically it is a Dark Grey     Knitwear, Sweater. The graphical appearance of the product is Melange 
 More details: 
Fine-knit V-neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides. Slightly longer at the back."
36,547863001,Gift,Dress,Garment Full body,All over pattern,Black,Dresses Ladies,"Dress in a patterned crêpe weave with a low stand-up collar, buttons down the front, some of which are concealed, a gathered yoke at the back, long sleeves with buttoned cuffs and a rounded hem. Slightly longer at the back. Unlined.","The name of this product is Gift. It is a Garment Full body , more specifically it is a Black     Dresses Ladies, Dress. The graphical appearance of the product is All over pattern","The name of this product is Gift. It is a Garment Full body , more specifically it is a Black     Dresses Ladies, Dress. The graphical appearance of the product is All over pattern 
 More details: 
Dress in a patterned crêpe weave with a low stand-up collar, buttons down the front, some of which are concealed, a gathered yoke at the back, long sleeves with buttoned cuffs and a rounded hem. Slightly longer at the back. Unlined."
37,661755001,CC MIA trousers BG,Trousers,Garment Lower body,Melange,Dark Red,Jersey Basic,Joggers in soft sweatshirt fabric with an elasticated waist and legs with stripes down the sides and ribbed hems. Soft brushed inside. The cotton content of the joggers is partly recycled.,"The name of this product is CC MIA trousers BG. It is a Garment Lower body , more specifically it is a Dark Red     Jersey Basic, Trousers. The graphical appearance of the product is Melange","The name of this product is CC MIA trousers BG. It is a Garment Lower body , more specifically it is a Dark Red     Jersey Basic, Trousers. The graphical appearance of the product is Melange 
 More details: 
Joggers in soft sweatshirt fabric with an elasticated waist and legs with stripes down the sides and ribbed hems. Soft brushed inside. The cotton content of the joggers is partly recycled."
38,538458002,Ina,Sweater,Garment Upper body,Melange,Dark Grey,Knitwear,"Jumper in fine-knit merino wool with a V-neck, dropped shoulders and ribbing around the neckline, cuffs and hem.","The name of this product is Ina. It is a Garment Upper body , more specifically it is a Dark Grey     Knitwear, Sweater. The graphical appearance of the product is Melange","The name of this product is Ina. It is a Garment Upper body , more specifically it is a Dark Grey     Knitwear, Sweater. The graphical appearance of the product is Melange 
 More details: 
Jumper in fine-knit merino wool with a V-neck, dropped shoulders and ribbing around the neckline, cuffs and hem."
39,648339001,DIV Mel maxi dress,Dress,Garment Full body,All over pattern,Blue,Blouses,"Maxi dress in woven fabric with a V-neck and narrow shoulder straps. Elasticated seam at the waist and a straight-cut, softly draping skirt with high slits in the sides.","The name of this product is DIV Mel maxi dress. It is a Garment Full body , more specifically it is a Blue     Blouses, Dress. The graphical appearance of the product is All over pattern","The name of this product is DIV Mel maxi dress. It is a Garment Full body , more specifically it is a Blue     Blouses, Dress. The graphical appearance of the product is All over pattern 
 More details: 
Maxi dress in woven fabric with a V-neck and narrow shoulder straps. Elasticated seam at the waist and a straight-cut, softly draping skirt with high slits in the sides."
40,617303001,Able WCT pants,Trousers,Garment Lower body,Solid,Black,Jersey Fancy,"Joggers with an elasticated drawstring waist, side pockets and contrasting colour stripes down legs.","The name of this product is Able WCT pants. It is a Garment Lower body , more specifically it is a Black     Jersey Fancy, Trousers. The graphical appearance of the product is Solid","The name of this product is Able WCT pants. It is a Garment Lower body , more specifically it is a Black     Jersey Fancy, Trousers. The graphical appearance of the product is Solid 
 More details: 
Joggers with an elasticated drawstring waist, side pockets and contrasting colour stripes down legs."
41,854092002,PQ ROLEX LINEN TEE,T-shirt,Garment Upper body,Solid,Light Beige,Knitwear,T-shirt in slub linen jersey with a low-cut neckline.,"The name of this product is PQ ROLEX LINEN TEE. It is a Garment Upper body , more specifically it is a Light Beige     Knitwear, T-shirt. The graphical appearance of the product is Solid","The name of this product is PQ ROLEX LINEN TEE. It is a Garment Upper body , more specifically it is a Light Beige     Knitwear, T-shirt. The graphical appearance of the product is Solid 
 More details: 
T-shirt in slub linen jersey with a low-cut neckline."
42,923168002,Felicia cord,Shirt,Garment Upper body,Solid,Beige,Blouses,"Straight-cut shirt in heavy cotton corduroy with a collar, buttons down the front, a yoke at the back, a rounded hem and long sleeves with buttoned cuffs.","The name of this product is Felicia cord. It is a Garment Upper body , more specifically it is a Beige     Blouses, Shirt. The graphical appearance of the product is Solid","The name of this product is Felicia cord. It is a Garment Upper body , more specifically it is a Beige     Blouses, Shirt. The graphical appearance of the product is Solid 
 More details: 
Straight-cut shirt in heavy cotton corduroy with a collar, buttons down the front, a yoke at the back, a rounded hem and long sleeves with buttoned cuffs."
43,797892002,ED Milk slaks,Trousers,Garment Lower body,Solid,Light Beige,Trousers,"Cigarette trousers in stretch twill with a regular waist that is elasticated at the back. Fake fly, diagonal side pockets, fake welt back pockets and ankle-length legs with creases.","The name of this product is ED Milk slaks. It is a Garment Lower body , more specifically it is a Light Beige     Trousers, Trousers. The graphical appearance of the product is Solid","The name of this product is ED Milk slaks. It is a Garment Lower body , more specifically it is a Light Beige     Trousers, Trousers. The graphical appearance of the product is Solid 
 More details: 
Cigarette trousers in stretch twill with a regular waist that is elasticated at the back. Fake fly, diagonal side pockets, fake welt back pockets and ankle-length legs with creases."
44,411974005,OL BLIXTEN PQ sneaker,Sneakers,Shoes,Solid,Light Grey,Shoes,"Trainers with lacing at the front, mesh linings, cotton twill insoles and rubber soles.","The name of this product is OL BLIXTEN PQ sneaker. It is a Shoes , more specifically it is a Light Grey     Shoes, Sneakers. The graphical appearance of the product is Solid","The name of this product is OL BLIXTEN PQ sneaker. It is a Shoes , more specifically it is a Light Grey     Shoes, Sneakers. The graphical appearance of the product is Solid 
 More details: 
Trainers with lacing at the front, mesh linings, cotton twill insoles and rubber soles."
45,625779004,Cherry playsuit,Trousers,Garment Lower body,All over pattern,Dark Orange,Jersey Fancy,"Sleeveless playsuit in viscose jersey with a V-neck front and back and narrow shoulder straps. Elasticated seam at the waist with decorative twisted ties with tassels, and short, wide legs.","The name of this product is Cherry playsuit. It is a Garment Lower body , more specifically it is a Dark Orange     Jersey Fancy, Trousers. The graphical appearance of the product is All over pattern","The name of this product is Cherry playsuit. It is a Garment Lower body , more specifically it is a Dark Orange     Jersey Fancy, Trousers. The graphical appearance of the product is All over pattern 
 More details: 
Sleeveless playsuit in viscose jersey with a V-neck front and back and narrow shoulder straps. Elasticated seam at the waist with decorative twisted ties with tassels, and short, wide legs."
46,715862004,BARRY BURN OUT HENLEY,Sweater,Garment Upper body,Treatment,Dark Green,Jersey Fancy,Henley shirt in slub jersey with a button placket and long sleeves with a tab and button.,"The name of this product is BARRY BURN OUT HENLEY. It is a Garment Upper body , more specifically it is a Dark Green     Jersey Fancy, Sweater. The graphical appearance of the product is Treatment","The name of this product is BARRY BURN OUT HENLEY. It is a Garment Upper body , more specifically it is a Dark Green     Jersey Fancy, Sweater. The graphical appearance of the product is Treatment 
 More details: 
Henley shirt in slub jersey with a button placket and long sleeves with a tab and button."
