"article_id","prod_name","product_type_name","product_group_name","graphical_appearance_name","colour_group_name","garment_group_name","detail_desc"
"0669710003","SPARKLING TANK","Vest top","Garment Upper body","Glittering/Metallic","Black","Blouses","Pleated top in woven fabric containing glittery threads in a narrow cut at the top with short, narrow shoulder straps, and a faceted button at the back. Lined."
"0630851005","BEANIE KNIT MALTE LATE","Hat/beanie","Accessories","Stripe","Dark Orange","Accessories","Hat in a soft knit with a pompom on the top and earflaps. Fleece lining."
"0840607003","Nicole","Blouse","Garment Upper body","All over pattern","Light Beige","Blouses","Fitted top in a linen and viscose weave with a sweetheart neckline and short puff sleeves with elastication at the shoulders and hems."
"0711823006","Shorts HW Pixie","Shorts","Garment Lower body","Denim","Light Yellow","Trousers Denim","High-waisted shorts in washed, stretch denim with a zip fly and button, fake front pockets, real back pockets and short slits in the sides."
"0898378003","Belmont cargo","Trousers","Garment Lower body","Solid","Dark Blue","Trousers","Ankle-length trousers woven in a viscose blend with covered elastication and a concealed drawstring at the waist and a fake fly. Diagonal side pockets, welt back pockets and legs with creases and easy-access flap pockets."
"0574109015","Rachel Basic L/S","Sweater","Garment Upper body","Solid","Red","Knitwear","Fitted top in a fine rib knit with long sleeves and a ribbed neckline."
"0648878001","AK Hennessy zip","Hoodie","Garment Upper body","Solid","Beige","Special Offers","Short jacket in scuba fabric with a jersey-lined drawstring hood, zip down the front, front pockets and long raglan sleeves with wide ribbing and a thumbhole at the cuffs."
"0851094005","Mist Conscious Rib Tank","Vest top","Garment Upper body","Solid","Red","Jersey Fancy","Sports vest top in ribbed fast-drying functional fabric made from recycled polyester with short slits in the sides. Longer at the back."
"0652031001","Peggy pearl earring pack","Earring","Accessories","Solid","Off White","Accessories","Metal earrings with plastic beads in various sizes."
"0567803001","Utah cardigan","Cardigan","Garment Upper body","All over pattern","Dark Blue","Knitwear","Patterned, fine-knit cardigan in soft cotton with a round neck, buttons down the front and ribbing at the neckline, cuffs and hem."
"0680404001","Push Scarf","Scarf","Accessories","All over pattern","Dark Pink","Accessories","Scarf in an airy patterned weave."
"0695322004","LANCE STRIPED SHIRT","Shirt","Garment Upper body","Stripe","Black","Shirts","Shirt in cotton twill with a button-down collar with concealed buttons, a classic front and yoke at the back. Long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
"0820541001","Cortardo body ol","Top","Garment Upper body","Lace","Black","Jersey Fancy","Fitted body in sturdy, ribbed jersey with a sheen. V-neck, decorative, crossover lace straps at the front and press-studs at the crotch."
"0669552002","Nutella Hipster Peoni Low","Underwear bottom","Underwear","Solid","Black","Under-, Nightwear","Hipster briefs in lace with a low waist, lined gusset, wide sides and cutaway coverage at the back."
"0842000003","Shelly Polo Neck","Sweater","Garment Upper body","Solid","White","Knitwear","Fitted jumper in a soft, rib-knit viscose blend with a polo neck, long sleeves and short slits in the sides."
"0746310005","BRUCE CREWNECK","Sweater","Garment Upper body","Colour blocking","Dark Blue","Jersey Fancy","Long-sleeved top in soft sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside."
"0796823001","Hilly cheeky super high","Underwear bottom","Underwear","Solid","Black","Under-, Nightwear","Shaping briefs in microfibre with a high waist, lined gusset and laser-cut edges. The briefs have a light sculpting effect on the waist, bum and hips."
"0738777002","PE SAN REMO TOP","Top","Garment Upper body","Solid","Light Orange","Unknown","Top in soft, fine-knit cotton with a V-neck front and back and a narrow cut at the top."
"0657168002","Misha l/s top Halloween","T-shirt","Garment Upper body","Front print","Grey","Jersey Fancy","Long-sleeved top in cotton jersey with a glow-in-the-dark print on the front and a gently rounded hem. Slightly longer at the back."
"0749827001","MILAD fleece","Jacket","Garment Upper body","All over pattern","Grey","Outdoor","Jacket in soft fleece designed to be worn as a thermal mid layer with a stand-up collar, zip down the front with a chin guard, and long raglan sleeves. Unlined. The jacket is made partly from recycled polyester."
"0745306001","EDC Agge dress","Dress","Garment Full body","All over pattern","White","Special Offers","Calf-length dress in an airy Tencel™ lyocell and viscose weave with a V-shaped opening and concealed buttons at the front. Gathered yoke, long balloon sleeves with narrow cuffs, a seam at the hips and wide, gathered skirt with an asymmetric hem. Unlined."
"0759218001","Kalle tee","T-shirt","Garment Upper body","Colour blocking","Yellow","Jersey Fancy","Block-patterned T-shirt in printed cotton jersey."
"0910494002","ELLA DRESS","Dress","Garment Full body","Denim","Black","Dresses Ladies","Short, fitted dress in stretch denim with a square neckline, covered elastication over the shoulders and short puff sleeves. Unlined."
"0878045003","Tobias Henley tee","T-shirt","Garment Upper body","Solid","Dark Blue","Jersey Fancy","Short-sleeved Henley shirt in soft slub cotton jersey with a narrow trim around the neckline, button placket and small fabric appliqué at the hem."
"0538993001","Bones utility trousers HW","Trousers","Garment Lower body","Solid","Greenish Khaki","Trousers","High-waisted trousers in woven fabric with a detachable tie belt, pleats and the top and a zip in the side. Zip fly with hook and eye fasteners, side pockets, fake back pockets and wide tapered legs."
"0294076007","Skinny Shaping","Trousers","Garment Lower body","Solid","Black","Trousers","Shaping. Jeans in washed denim with technical stretch that holds in and shapes the hips, thighs and seat while keeping the jeans in shape. Fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort."
"0687173003","Margarita Push Melbourne","Bra","Underwear","Solid","Light Pink","Under-, Nightwear","Lace push-up bra with moulded, padded cups for a larger bust and fuller cleavage. Narrow, adjustable shoulder straps and a hook-and-eye fastening at the back."
"0872538003","River cargo jogger pullon TP","Trousers","Garment Lower body","Solid","Greenish Khaki","Trousers","Cargo joggers in washed cotton canvas. Casual style in a relaxed fit with covered elastication and a drawstring at the waist and a fake fly. Diagonal side pockets, fake back pockets with a flap, and bellows pockets with a flap on the legs. Tapered legs with shaping seams at the knees."
"0563459001","Ziggy velvet body v.5","Underwear body","Underwear","Solid","Black","Under-, Nightwear","Velour body with a wide flounce at the top and detachable, adjustable shoulder straps. Lined crotch with press-studs."
"0637996004","Esther set","Hat/beanie","Accessories","Solid","White","Accessories","Set with a hat and mittens in a soft cable knit containing some wool. Hat with a faux fur pompom on top, earflaps and ties under the chin. Mittens with foldover ribbing. Both hat and mittens have a fleece lining."
"0895010002","Func. Hector HT SG","Sneakers","Shoes","Solid","Light Pink","Shoes","Waterproof hi-tops in imitation leather with a padded edge and tongue, elasticated lacing at the front and a hook and loop tab at the top. Loop at the front and back and chunky, patterned soles. Height of soles 2.3 cm."
"0889574006","Evelina Dress L/S","Dress","Garment Full body","Dot","Yellow","Jersey Fancy","Long-sleeved dress in soft cotton jersey with overlocked frill trims at the front and a concealed press-stud on one shoulder (except in sizes 1½-4Y). Gathered seam at the top and a flared skirt."
"0890319001","SAGA SPORT s.9 bikini","Swimwear set","Swimwear","All over pattern","Other Yellow","Swimwear","Fully lined bikini. Top with wide shoulder straps and a racer back with a cut-out section and wide elastic hem. Bottoms with a wide elastic waistband."
"0700010001","Sigrid sport swimsuit","Swimsuit","Swimwear","Front print","Light Turquoise","Swimwear","Fully lined swimsuit with a text print on the front, racer back and cut-out section at the back."
"0873884005","Lee PU mini","Skirt","Garment Lower body","Treatment","Black","Skirts","Short skirt in imitation leather with a high waist and a concealed zip at the back. Lined. The polyurethane content of the skirt is water-based and free from DMF."
"0713378001","Karl","Sweater","Garment Upper body","Check","Beige","Knitwear","Oversized jumper in a jacquard knit containing some wool with ribbing around the neckline, cuffs and hem."
"0754267016","Zebra- TVP- TM","Sweater","Garment Upper body","Front print","Red","Jersey Fancy","Top in lightweight sweatshirt fabric with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem."
"0829302002","Pingu spring","Sweater","Garment Upper body","Solid","Black","Jersey Fancy","Top in a relaxed fit with long dolman sleeves."
"0705543001","Pria PLUSSIZE","T-shirt","Garment Upper body","Front print","Light Green","Jersey Fancy","T-shirt in soft cotton jersey with a print motif, round neckline, short sleeves and a rounded hem."
"0728703008","PQ Icona beanie","Hat/beanie","Accessories","Solid","Light Beige","Accessories","Hat knitted in soft cashmere with a roll edge."
"0758353001","PE CATHARINE TROUSER","Trousers","Garment Lower body","Solid","Black","Unknown","Trousers in a sturdy Tencel™ lyocell and silk weave with a sheen. High waist, concealed hook-and-eye fastening, zip fly, diagonal side pockets, a welt back pocket and gently tapered legs with creases."
"0584187001","Thierry Bomber","Cardigan","Garment Upper body","Treatment","Black","Jersey Fancy","Long-sleeved cardigan in soft sweatshirt fabric with a decorative detail on the chest, flap pocket on one sleeve, side pockets and ribbing around the neckline, cuffs and hem."
"0595696030","Margarita Pull- On Shorts","Shorts","Garment Lower body","All over pattern","White","Shorts","Short shorts in a viscose weave with an elasticated drawstring waist, side pockets and gently rounded hems with short slits in the sides."
"0857453005","JONES SLIM 5PKT","Shorts","Garment Lower body","Solid","Dark Blue","Shorts","5-pocket shorts in cotton twill with a regular waist, slightly lower crotch and zip fly and button."
"0384851019","Sage Shorts","Shorts","Garment Lower body","Solid","Dark Pink","Jersey Basic","Short shorts in sweatshirt fabric with an elasticated drawstring waist, back pocket and contrasting colour trims."
"0901679001","Togepi tunic","Blouse","Garment Upper body","Solid","Light Blue","Blouses","Tunic in crisp cotton seersucker with an opening and button at the back of the neck, dropped shoulders and short, voluminous puff sleeves. Seam with a drawstring under the bust and at the back. Lined with a detachable, V-neck inner top in a viscose weave. The inner top has narrow, adjustable shoulder straps."
"0654870002","KAYLA shorts","Shorts","Garment Lower body","Placement print","Other Pink","Jersey Fancy","Shorts in lightweight sweatshirt fabric with an elasticated drawstring waist, side pockets, print on one leg and sewn-in turn-ups at the hems."
"0554541014","SKINNY SS 89","Trousers","Garment Lower body","Denim","Light Blue","Trousers Denim","5-pocket slim-fit jeans in washed, superstretch, flexible denim for maximum mobility with an adjustable, elasticated waist, zip fly and narrow hems."
"0593030001","Mya Lace 1p Tights","Underwear Tights","Socks & Tights","Lace","Light Beige","Socks and Tights","Lace tights with an elasticated waist."
"0488012012","TP Axel 5-p anklesock BB","Socks","Socks & Tights","Stripe","Green","Socks and Tights","Jacquard-knit socks in a soft cotton blend with elastication around the top."
"0938303001","HW spidy aliceband","Hair/alice band","Accessories","Solid","Black","Accessories","Narrow Alice band in metal with a large glittery cobweb on top resembling a tiara."
"0456032014","Relax Shorts (1)","Shorts","Garment Lower body","All over pattern","Black","Jersey Fancy","Knee-length shorts in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and raw-edge hems."
"0732294003","HM+ Spice 2pk top","Bra","Underwear","Solid","Pink","Under-, Nightwear","Bra tops in stretch jersey made from a cotton blend with elastic hems. Jersey lining."
"0757589002","LAVENDER half zip","Sweater","Garment Upper body","Melange","Dark Grey","Knitwear","Jumper in a cotton knit containing some cashmere with a stand-up collar and zip at the top."
"0807770002","Angelina skirt","Skirt","Garment Lower body","All over pattern","White","Trousers","Calf-length skirt in a pleated crêpe weave with a high waist, concealed zip and hook-and-eye fastening at one side, and a raw-edge hem."
"0481771001","EDIT T-shirt","T-shirt","Garment Upper body","Solid","Other Pink","Jersey Basic","Short-sleeved top in jersey made from an organic cotton blend in a wide, slightly shorter style."
"0706017001","Pluie rainboot SG","Boots","Shoes","All over pattern","Light Blue","Shoes","Print-patterned wellingtons with a loop at the back, fabric linings and insoles and chunky rubber soles."
"0316553027","Washington dress","Dress","Garment Full body","Solid","Greenish Khaki","Dresses Ladies","Short jersey dress with narrow shoulder straps, a seam at the waist and bell-shaped skirt."
"0665212005","Jens","Sweater","Garment Upper body","Melange","Yellow","Knitwear","Jumper in a soft cable knit containing some wool with long raglan sleeves and ribbing around the neckline, cuffs and hem."
"0714285001","Yann Sweater","Sweater","Garment Upper body","Other structure","Red","Knitwear","Jumper in soft, textured-knit cotton with a cable-knit front, long sleeves and ribbing around the neckline, cuffs and hem."
"0865133002","Nina l/s top","T-shirt","Garment Upper body","Solid","Dark Blue","Jersey Fancy","Long-sleeved top in soft slub cotton jersey with a broderie anglaise flounce over the shoulder seams."
"0552743021","PEBBLE knitted creweck","Sweater","Garment Upper body","Melange","Dark Green","Knitwear","Long-sleeved jumper in soft, fine-knit cashmere with ribbing around the neckline, cuffs and hem."
"0716550001","Nolita contrast blouse","Blouse","Garment Upper body","Solid","White","Blouses","Blouse in a crêpe weave with a V-neck and collar with sewn-on ties. Long sleeves, cuffs with a covered button, and a gently rounded hem. Slightly longer at the back."
"0669271003","ROOTS crew","Sweater","Garment Upper body","Solid","Dark Red","Jersey Basic","Top in lightweight sweatshirt fabric with long raglan sleeves with frills at the front, and ribbing around the neckline, cuffs and hem."
"0576146001","Byron Lounge M-Gown","Robe","Underwear","Melange","Light Grey","Under-, Nightwear","Dressing gown in soft sweatshirt fabric with a hood, tie belt and side pockets."
"0654266015","Stephanie LS","Top","Garment Upper body","Melange","Dark Orange","Jersey Fancy","Long-sleeved top in stretch jersey with a wide neckline and gathers at the sides for best fit over the tummy."
"0892906001","Betty puff","T-shirt","Garment Upper body","Solid","Black","Jersey Basic","Shorter top in soft cotton jersey with a round neckline and short puff sleeves."
"0580031006","TURIN jersey pants TVP","Trousers","Garment Lower body","Solid","Greyish Beige","Woven/Jersey/Knitted mix Baby","Baby Exclusive. Trousers in soft organic cotton slub jersey with an elasticated waist, side pockets and a fake fly with decorative buttons."
"0544627005","Shake","Skirt","Garment Lower body","Solid","Light Pink","Skirts","Short, high-waisted skirt in a textured weave with pleats at the top, a zip at the back and side pockets."
"0762063001","Havana dress SPEED","Dress","Garment Full body","All over pattern","Light Beige","Dresses Ladies","Short wrap dress in an airy crêpe weave with a V-neck, ties at the waist, long, flounced sleeves and a gently flared skirt with a seam and flounce at the hem. Unlined."
"0640863003","Fran sock sneaker","Sneakers","Shoes","Solid","Black","Shoes","Fully-fashioned trainers with a rib-trimmed shaft. Fabric insoles and rubber soles."
"0912867002","AUSSIE COLLAB BAGCHARM","Other accessories","Accessories","Solid","White","Accessories","Kangol x H&M. Small bag decoration with a zip. Metal carabiner hook to attach it to your bag. Size approx. 9x7 cm."
"0596958001","Perrie Patch TRS","Trousers","Garment Lower body","Application/3D","Blue","Trousers","5-pocket, high-waisted jeans in sturdy washed denim with hard-worn details and patches. Tapered legs with raw-edge hems."
"0643678033","3P SS PJ","Pyjama jumpsuit/playsuit","Nightwear","All over pattern","Light Blue","Under-, Nightwear","All-in-one pyjamas in soft organic cotton jersey with press-studs fastenings, short sleeves and short legs."
"0821019001","CNY Original Straight","Trousers","Garment Lower body","Denim","Light Blue","Unknown","5-pocket jeans in washed cotton denim with a high waist, zip fly and button and straight legs with cut-off hems."
"0430757001","Cherry skirt","Skirt","Garment Lower body","Solid","Black","Skirts","Short skirt with a zip at the back. Lined."
"0486329007","Jess","Vest top","Garment Upper body","Dot","Dark Blue","Blouses","V-neck top in a double layer of crêpe with narrow shoulder straps that cross at the back. Gently flared style."
"0883354001","Ellen Malta Wireless 2pk","Bra","Underwear","Solid","Black","Under-, Nightwear","Strapless bandeau bras in cotton jersey with padded cups that shape the bust and provide good support, a hook-and-eye fastening at the back, and side support."
"0874819002","Maltese FUP","Cardigan","Garment Upper body","Melange","Light Beige","Knitwear","Long cardigan in a soft knit containing some wool with dropped shoulders and patch front pockets. No buttons. The polyester content of the cardigan is recycled."
"0506369003","Bollnäs woven pants BB","Pyjama bottom","Nightwear","Check","Blue","Under-, Nightwear","Pyjama bottoms in a patterned cotton weave with covered elastication and a drawstring at the waist and a fake fly."
"0601199001","Alicia Romper","Jumpsuit/Playsuit","Garment Full body","Other pattern","Dark Blue","Jersey Fancy","Sleeveless romper suit in patterned cotton jersey with elastication at the top, narrow shoulder straps with fixed ties and a double-layered top. Press-studs at the crotch and short legs with elasticated frill trims at the hems."
"0761501004","Blake Slim Trs","Trousers","Garment Lower body","Melange","Dark Red","Trousers","Ankle-length suit trousers in airy linen with a hook-and-eye fastening and zip fly. Side pockets, welt back pockets and tapered legs with creases. Slim Fit – a fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette."
"0594543042","TP TAGE shorts BB","Shorts","Garment Lower body","Solid","Dark Purple","Jersey Basic","Shorts in lightweight sweatshirt fabric with side pockets and wide elastication with a drawstring at the waist. The cotton content of the shorts is organic."
"0813504008","NORTON price LS","T-shirt","Garment Upper body","Stripe","Dark Blue","Jersey Basic","Long-sleeved top in soft, organic cotton jersey with ribbing around the neckline."
"0589222005","Skinny H.W Air","Trousers","Garment Lower body","Denim","Blue","Trousers Denim","High-waisted jeans in stretch denim with a zip fly and button, fake front pockets, real back pockets and skinny legs."
